iter	Passed	Remaining
555	21433	17115
556	21463	17070
557	21504	17034
558	21532	16986
559	21562	16941
560	21601	16903
561	21633	16860
562	21679	16827
563	21707	16781
564	21745	16742
565	21800	16716
566	21838	16677
567	21938	16685
568	22016	16676
569	22043	16629
570	22064	16577
571	22081	16522
572	22100	16469
573	22125	16420
574	22147	16370
575	22185	16331
576	22213	16285
577	22240	16237
578	22280	16200
579	22302	16150
580	22332	16105
581	22358	16058
582	22393	16017
583	22435	15981
584	22502	15963
585	22546	15929
586	22587	15891
587	22610	15842
588	22636	15795
589	22659	15746
590	22680	15695
591	22701	15645
592	22724	15596
593	22746	15546
594	22778	15504
595	22801	15455
596	22820	15404
597	22839	15353
598	22866	15307
599	22891	15260
600	22913	15212
601	22933	15161
602	22957	15114
603	22985	15070
604	23001	15017
605	23017	14965
606	23038	14916
607	23059	14867
608	23078	14817
609	23114	14777
610	23151	14739
611	23189	14701
612	23222	14661
613	23257	14621
614	23276	14571
615	23296	14522
616	23316	14473
617	23335	14424
618	23358	14377
619	23383	14332
620	23405	14284
621	23427	14237
622	23448	14189
623	23468	14141
624	23492	14095
625	23512	14047
626	23532	13999
627	23549	13949
628	23569	13901
629	23587	13853
630	23605	13803
631	23619	13753
632	23636	13704
633	23654	13655
634	23669	13605
635	23684	13555
636	23700	13506
637	23716	13456
638	23731	13407
639	23750	13359
640	23775	13315
641	23803	13273
642	23826	13228
643	23852	13185
644	23874	13140
645	23897	13095
646	23919	13050
647	23935	13002
648	23955	12955
649	23973	12908
650	23993	12862
651	24018	12819
652	24085	12799
653	24115	12758
654	24163	12727
655	24189	12684
656	24216	12642
657	24240	12599
658	24270	12558
659	24315	12526
660	24367	12497
661	24398	12457
662	24448	12426
663	24469	12382
664	24506	12345
665	24537	12305
666	24565	12264
667	24600	12226
668	24687	12214
669	24722	12176
670	24748	12134
671	24785	12097
672	24832	12065
673	24881	12034
674	24935	12006
675	24962	11964
676	24984	11920
677	25002	11874
678	25048	11841
679	25091	11807
680	25121	11767
681	25196	11748
682	25246	11717
683	25308	11692
684	25362	11662
685	25409	11630
686	25448	11594
687	25484	11556
688	25514	11516
689	25548	11478
690	25589	11443
691	25641	11412
692	25680	11376
693	25712	11337
694	25760	11305
695	25790	11264
696	25811	11220
697	25832	11176
698	25856	11134
699	25874	11088
700	25891	11043
701	25909	10998
702	25926	10953
703	25946	10909
704	25973	10868
705	26000	10827
706	26022	10784
707	26061	10748
708	26097	10711
709	26121	10669
710	26141	10625
711	26158	10580
712	26174	10535
713	26189	10490
714	26204	10445
715	26221	10400
716	26239	10356
717	26258	10313
718	26275	10269
719	26296	10226
720	26319	10184
721	26340	10142
722	26367	10101
723	26392	10061
724	26425	10023
725	26454	9984
726	26482	9944
727	26500	9901
728	26520	9858
729	26544	9817
730	26565	9775
731	26585	9733
732	26603	9690
733	26624	9648
734	26647	9607
735	26666	9565
736	26690	9524
737	26748	9496
738	26776	9456
739	26818	9422
740	26851	9385
741	26874	9344
742	26893	9302
743	26915	9261
744	26935	9219
745	26955	9178
746	26975	9136
747	26992	9093
748	27012	9052
749	27031	9010
750	27050	8968
751	27068	8926
752	27088	8885
753	27109	8844
754	27133	8805
755	27158	8765
756	27176	8723
757	27197	8683
758	27224	8644
759	27254	8606
760	27278	8567
761	27303	8527
762	27331	8489
763	27359	8451
764	27377	8409
765	27394	8368
766	27410	8326
767	27425	8284
768	27443	8243
769	27463	8203
770	27480	8162
771	27498	8121
772	27535	8086
773	27555	8046
774	27596	8011
775	27640	7978
776	27677	7943
777	27700	7904
778	27724	7865
779	27755	7828
780	27792	7793
781	27850	7763
782	27889	7729
783	27949	7700
784	27989	7665
785	28023	7629
786	28062	7595
787	28100	7560
788	28125	7521
789	28153	7483
790	28190	7448
791	28217	7410
792	28241	7371
793	28294	7340
794	28338	7307
795	28364	7269
796	28409	7235
797	28526	7221
798	28603	7195
799	28660	7165
800	28693	7128
801	28724	7091
802	28778	7060
803	28812	7023
804	28868	6992
805	28983	6976
806	29049	6947
807	29118	6919
808	29163	6885
809	29196	6848
810	29230	6812
811	29260	6774
812	29295	6738
813	29332	6702
814	29375	6668
815	29411	6631
816	29448	6596
817	29492	6561
818	29531	6526
819	29591	6495
820	29629	6460
821	29657	6422
822	29696	6386
823	29739	6352
824	29761	6313
825	29787	6274
826	29807	6235
827	29824	6195
828	29842	6155
829	29860	6115
830	29878	6076
831	29901	6037
832	29921	5998
833	29939	5959
834	29956	5919
835	29974	5880
836	29996	5841
837	30023	5804
838	30047	5766
839	30070	5727
840	30102	5691
841	30145	5656
842	30170	5619
843	30212	5584
844	30233	5545
845	30250	5506
846	30268	5467
847	30289	5429
848	30310	5390
849	30324	5351
850	30341	5312
851	30358	5273
852	30377	5235
853	30397	5196
854	30417	5158
855	30447	5121
856	30475	5085
857	30499	5047
858	30520	5009
859	30546	4972
860	30566	4934
861	30585	4896
862	30601	4857
863	30616	4819
864	30631	4780
865	30647	4742
866	30663	4703
867	30685	4666
868	30706	4628
869	30746	4594
870	30818	4564
871	30865	4530
872	30918	4497
873	30959	4463
874	31022	4431
875	31056	4396
876	31103	4362
877	31184	4333
878	31219	4297
879	31251	4261
880	31291	4226
881	31314	4189
882	31339	4152
883	31361	4115
884	31393	4079
885	31426	4043
886	31461	4008
887	31497	3972
888	31547	3939
889	31589	3904
890	31614	3867
891	31635	3830
892	31654	3792
893	31682	3756
894	31699	3718
895	31727	3682
896	31755	3646
897	31806	3612
898	31855	3578
899	31885	3542
900	31915	3506
901	31951	3471
902	31984	3435
903	32034	3401
904	32079	3367
905	32207	3341
906	32284	3310
907	32308	3273
908	32365	3240
909	32420	3206
910	32446	3169
911	32476	3133
912	32517	3098
913	32554	3063
914	32607	3029
915	32652	2994
916	32711	2960
917	32755	2925
918	32809	2891
919	32838	2855
920	32910	2822
921	32958	2788
922	32989	2752
923	33041	2717
924	33078	2682
925	33114	2646
926	33145	2610
927	33167	2573
928	33187	2536
929	33210	2499
930	33239	2463
931	33272	2427
932	33296	2391
933	33325	2354
934	33366	2319
935	33428	2285
936	33487	2251
937	33530	2216
938	33562	2180
939	33613	2145
940	33655	2110
941	33688	2074
942	33722	2038
943	33763	2002
944	33791	1966
945	33820	1930
946	33839	1893
947	33863	1857
948	33887	1821
949	33907	1784
950	33928	1748
951	33951	1711
952	33976	1675
953	34003	1639
954	34029	1603
955	34057	1567
956	34092	1531
957	34123	1496
958	34166	1460
959	34219	1425
960	34263	1390
961	34323	1355
962	34376	1320
963	34439	1286
964	34479	1250
965	34572	1216
966	34615	1181
967	34714	1147
968	34812	1113
969	34849	1077
970	34902	1042
971	34945	1006
972	34995	971
973	35137	937
974	35185	902
975	35301	868
976	35370	832
977	35482	798
978	35614	763
979	35678	728
980	35707	691
981	35733	654
982	35750	618
983	35772	581
984	35813	545
985	35928	510
986	35982	473
987	36011	437
988	36031	400
989	36052	364
990	36077	327
991	36106	291
992	36129	254
993	36154	218
994	36177	181
995	36197	145
996	36216	108
997	36236	72
998	36255	36
999	36291	0
